campaign_id,template_id,template_name,email,time,message
70,70,"""Mandatory Legal Awareness Workshop – Register by Friday""",maarten.vandenberghe@proximus.com,2025-01-15T13:45:34.8940036Z,Email Sent
17,17,"""Issue: Data synchronization error in customer portal.""",lieve.devos@proximus.com,2025-01-15T14:16:03.9879124Z,Email Sent
70,70,"""Mandatory Legal Awareness Workshop – Register by Friday""",maarten.vandenberghe@proximus.com,2025-01-15T14:18:23.0047693Z,Email Opened
17,17,"""Issue: Data synchronization error in customer portal.""",lieve.devos@proximus.com,2025-01-15T14:23:37.5551247Z,Email Sent
10,10,"""Follow-up: Adjustments to revenue reporting for audit requirements.""",jana.van.bever@proximus.com,2025-01-15T14:32:24.6635428Z,Email Sent
10,10,"""Follow-up: Adjustments to revenue reporting for audit requirements.""",jana.van.bever@proximus.com,2025-01-15T15:45:10.1234567Z,Submitted Data
48,48,"“HR Service: Refer a Candidate and Earn Rewards – Submit Today""",alexis.leroy@proximus.com,2025-01-15T16:06:43.2191454Z,Email Sent
23,23,“Weekly Onboarding Status Report – Key Metrics”,anne.vancoillie@proximus.com,2025-01-15T17:03:39.3195656Z,Email Sent
32,32,"""Update: Mitigation of DDoS attack on servers.""",anouk.verbruggen@proximus.com,2025-01-15T17:09:33.736899Z,Email Sent
30,30,"""Planned server downtime for software updates.""",annelies.descheemaeker@proximus.com,2025-01-15T17:17:54.9876543Z,Email Sent
48,48,"“HR Service: Refer a Candidate and Earn Rewards – Submit Today""",alexis.leroy@proximus.com,2025-01-15T17:19:37.9876543Z,Submitted Data
85,85,"""Planned data center expansion: New server installation.""",bart.delange@proximus.com,2025-01-15T17:23:18.6149751Z,Email Sent
79,79,"""Details for the launch of new fiber internet plans.""",lies.goossens@proximus.com,2025-01-15T17:29:04.5052123Z,Email Sent
35,35,"""Status update: Migration of systems to cloud infrastructure.""",elena.de.buck@proximus.com,2025-01-15T17:30:29.0705753Z,Email Sent
19,19,"""Proximus Employee Stock Purchase Plan – Final Steps to Enroll""",alexia.vanpeteghem@proximus.com,2025-01-15T18:06:40.8740642Z,Email Sent
19,19,"""Proximus Employee Stock Purchase Plan – Final Steps to Enroll""",alexia.vanpeteghem@proximus.com,2025-01-15T18:20:06.7133251Z,Email Opened
90,90,"""New Sustainability Initiatives: HR-Sponsored Green Training""",pieter.vanhee@proximus.com,2025-01-15T19:03:18.4293784Z,Email Sent
79,79,"""Details for the launch of new fiber internet plans.""",lies.goossens@proximus.com,2025-01-15T19:08:45.9389012Z,Email Opened
23,23,“Weekly Onboarding Status Report – Key Metrics”,anne.vancoillie@proximus.com,2025-01-15T19:13:15.4066139Z,Email Sent
93,93,"""Confirm Your Participation: Cloud Computing Tools and Techniques Webinar""",pieter.dewever@proximus.com,2025-01-15T19:13:50.6364319Z,Email Sent
30,30,"""Planned server downtime for software updates.""",annelies.descheemaeker@proximus.com,2025-01-15T19:32:01.1234567Z,Clicked Link
85,85,"""Planned data center expansion: New server installation.""",bart.delange@proximus.com,2025-01-15T19:36:45.8336329Z,Clicked Link
93,93,"""Confirm Your Participation: Cloud Computing Tools and Techniques Webinar""",pieter.dewever@proximus.com,2025-01-15T20:03:13.3645822Z,Clicked Link
90,90,"""New Sustainability Initiatives: HR-Sponsored Green Training""",pieter.vanhee@proximus.com,2025-01-15T20:54:27.5091326Z,Submitted Data
84,84,"""HR Policy Update: Attendance and Remote Work Guidelines""",jasper.timmermans@proximus.com,2025-01-16T04:48:13.4028573Z,Email Sent
11,11,"""Mandatory: Enhancing Security with Advanced Verification Tools""",bart.dedecker@proximus.com,2025-01-16T04:56:33.4110914Z,Email Sent
84,84,"""HR Policy Update: Attendance and Remote Work Guidelines""",jasper.timmermans@proximus.com,2025-01-16T05:19:02.9387192Z,Email Sent
11,11,"""Mandatory: Enhancing Security with Advanced Verification Tools""",bart.dedecker@proximus.com,2025-01-17T12:34:17.2345678Z,Submitted Data
41,41,“Weekly Onboarding Status Report – Key Metrics”,olivier.dubois@proximus.com,2025-01-22T18:06:33.9505464Z,Email Sent
41,41,“Weekly Onboarding Status Report – Key Metrics”,olivier.dubois@proximus.com,2025-01-22T19:19:27.2058156Z,Submitted Data
61,61,"""Follow-up: Resolving mismatches in accounts ledger.""",nina.van.acker@proximus.com,2025-01-25T10:24:12.8633592Z,Email Sent
62,62,"""Integration of multi-language support in enterprise dashboard.""",emiel.maes@proximus.com,2025-01-27T07:29:22.9435647Z,Email Sent
62,62,"""Integration of multi-language support in enterprise dashboard.""",emiel.maes@proximus.com,2025-01-27T08:31:29.6372182Z,Clicked Link
95,95,"""Register Now: Advanced Network Troubleshooting Techniques Workshop""",victor.vandevelde@proximus.com,2025-01-28T10:58:55.1542033Z,Email Sent
36,36,"""Confirm Your Participation in Digital Strategy Training""",thomas.hermans@proximus.com,2025-02-01T10:48:39.3497216Z,Email Sent
